rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
75,史上最宏大三国电影！但嘟嘟的恩情还不完【长评《赤壁》】【中国烂片史】,老白者乎,33677,4484,0.1331,3642,1182,265,477,2250,2567,https://www.bilibili.com/video/BV1nqeMzfE8q,BV1nqeMzfE8q,意义是 无意识
76,谁是正宗狗刨？,新华社,131848,17385,0.1319,858,1479,695,229,234,228,https://www.bilibili.com/video/BV1wweAzEEQN,BV1wweAzEEQN,"8月8日至22日，“2025吉林市公园主题宠物博览会”在吉林省吉林市开展，东北三省萌宠运动会等趣味竞技活动在此期间举行，一起来看各位“汪星人”游泳炫技、翻车名场面。

记者：唐成卓、王帆"
77,干活vlog|吵闹式体验潮汕男人下班干活日常。许愿不要再喉咙痛了,吴师傅的一天,159901,21068,0.1318,720,1674,246,254,230,340,https://www.bilibili.com/video/BV1thbLzEEDL,BV1thbLzEEDL,
78,重金打造顶流女团，结果全员受伤？？资本家竟是我自己！！,shhaady,39092,5150,0.1317,3609,899,121,297,976,1117,https://www.bilibili.com/video/BV1fneuzbE6f,BV1fneuzbE6f,
79,谁家庭,累渠_,221580,29102,0.1313,888,3512,3213,467,172,59,https://www.bilibili.com/video/BV1KeeczUEka,BV1KeeczUEka,-
80,“纵然如今天各一方 情谊依旧紧密相连“,Roxng,128353,16805,0.1309,5044,12742,364,309,921,270,https://www.bilibili.com/video/BV1bNYtzbE5a,BV1bNYtzbE5a,"四年大学时光一眨眼就过去，如今坐在工位上班，时不时还会想起初入校园时的青涩
如今与朋友们天各一方，曾经共度的时光如同旧照片一般真实但不可再次经历
校园时光美好又短暂，离开校园后才意识到原来有些人在自己心中占据了重要的地位
临近毕业的时候，最初想的是重置《只想守护你》，也想过做一期《Starlight》，但是因为种种原因都没做完
一个人在陌生的城市，一边硬撑着消化不好的情绪，一边试图找一些能引起共鸣"
81,『女仆教育。』游戏制作中,局长きょくちょ,997824,130630,0.1309,30016,46916,47300,6344,12163,46,https://www.bilibili.com/video/BV17qYCzXEFx,BV17qYCzXEFx,"【YouTube】
视频制作：Nザミー / Yamitsuki Studio所属
https://x.com/n_nnnzami1111

【X】
视频制作：Nザミー（@n_nnnzami1111）/ Yamitsuki Studio所属（@yamitsuki_std）"
82,最不需要汉化的一群人，却给了我们最需要的汉化！,波仔同学pro,1813261,234891,0.1295,19884,23967,2254,8085,31074,78,https://www.bilibili.com/video/BV1sbYezTEzo,BV1sbYezTEzo,
83,刻律德菈：我来成为神明,呵纹Hevon,172114,22237,0.1292,2444,3230,1077,563,461,132,https://www.bilibili.com/video/BV1MAe3zSEXC,BV1MAe3zSEXC,"片尾BGM：幸福なわがまま
脚本：@呵纹Hevon  
素材绘制：@仓鼠饭团c  
配音协力：星、长夜月、风堇@宅在家里什么都不会  、海瑟音@录音姬阿童木  、刻律德菈@恪诀  
后期协力：@奶昔PurinN  动效@假日威龙陈阿颐"
84,治愈者花店 春日花园,远方森林-福州花店,540773,69219,0.128,1625,6929,1290,442,471,282,https://www.bilibili.com/video/BV1KcYyzTEC1,BV1KcYyzTEC1,花艺师第一视角沉浸式日常
85,《这可是只活鸡啊》,伤心欲茄222,2092966,267198,0.1277,12762,11076,5915,3166,1977,85,https://www.bilibili.com/video/BV1dTYizFETP,BV1dTYizFETP,素材：悻生
86,《虎头山野王》,伤心欲茄222,1682388,212950,0.1266,6771,10916,5171,3450,2995,106,https://www.bilibili.com/video/BV1eRY4zKEyM,BV1eRY4zKEyM,剧名：《雪豹坚强岁月》
87,我家的茶几...会下雨,天予睡过头,138656,17528,0.1264,1741,3180,378,179,136,169,https://www.bilibili.com/video/BV1RZY4zPEv5,BV1RZY4zPEv5,
88,杯杯都是真感情,小露妍呀,304217,38454,0.1264,3074,1959,480,330,443,91,https://www.bilibili.com/video/BV1FvYazxEmc,BV1FvYazxEmc,-
89,敬对方干的坏事，但不触发恶魔特效2.0,正宗氛围帅哥杰西卡,691509,87333,0.1263,4560,12431,10091,876,1289,282,https://www.bilibili.com/video/BV1XjY4zwEgr,BV1XjY4zwEgr,-
90,谁懂！包了一个庄园做五o,野炊小团,242756,30646,0.1262,646,3063,2295,723,235,70,https://www.bilibili.com/video/BV1e3bpzLEda,BV1e3bpzLEda,"谁想来玩！

9/4/个屠屠和03//4个求生宝宝以及18个地图进入08个秋游
宝宝们，看数字 ，连起来是企我鸟裙"
91,人民日报对话“胖东来”创始人于东来：不追求成为很大的企业，只希望“善”能够走向更多的地方,人民日报,1175842,147985,0.1259,29628,15597,7871,2708,3244,447,https://www.bilibili.com/video/BV1qhewzzE5L,BV1qhewzzE5L,
92,博识尊：⚡爸爸去哪儿？⚡,小小胖胖云,886827,111392,0.1256,17327,31067,37337,4596,18225,106,https://www.bilibili.com/video/BV1biYkzeE5s,BV1biYkzeE5s,来古士素材：sujikan
93,敢⚡不⚡敢⚡再⚡赌⚡一⚡次！,FoFTG,280131,35121,0.1254,2367,4060,63,401,1612,112,https://www.bilibili.com/video/BV1fReNzSEFu,BV1fReNzSEFu,"祝所有少年生日快乐！！！
灵感来自现实世界qwp
喜欢还请三连支持下吧pwq~"
